id,label
22247,0
39970,0
31732,0
11434,0
52370,1
52919,0
26897,0
22819,0
11669,0
28179,1
15954,0
51543,0
21160,0
4935,1
2763,0
9005,0
27823,1
28356,0
26653,1
35832,0
30239,0
15633,0
25044,0
15363,0
46483,0
22124,0
13724,1
15545,0
50632,1
26193,1
46046,0
12348,0
453,0
10078,0
17768,1
9671,1
36040,0
38698,0
53778,0
48258,1
19816,1
49416,0
20305,0
30363,0
46276,0
44791,0
24036,1
5649,0
50540,0
33396,0
31556,0
46942,0
49107,1
31042,1
33536,0
7445,0
50566,1
36260,0
168,0
14741,1
27493,0
35566,0
28918,1
7724,0
12693,0
10321,0
26789,0
33903,0
45299,0
38724,0
7451,1
11379,1
34539,0
36866,1
11911,0
4422,1
11134,0
32584,0
12353,0
6094,0
23802,0
44738,1
6497,0
34784,0
15538,0
34780,0
12543,0
9011,0
26408,0
34721,0
35773,0
15960,1
19127,0
9232,0
28289,0
41145,1
26828,0
7560,1
14791,0
7989,1
8556,0
23662,0
37885,0
52924,1
22495,0
41322,0
38878,0
16931,0
14484,1
42864,0
2758,0
11126,0
7688,0
18299,0
27499,0
20750,1
3571,0
13297,1
9547,0
50078,1
22517,0
28515,0
25181,1
27943,0
22274,0
36695,0
3951,0
14549,0
29907,1
42740,0
33750,1
17976,1
31689,0
30561,1
13817,1
23493,1
47198,0
28558,0
41741,0
15302,1
37430,1
10911,0
48716,0
8092,1
5119,0
40831,0
31232,1
14417,0
11235,1
52110,0
42386,1
21204,0
42534,0
17989,1
37802,1
32262,1
29137,1
53847,0
884,1
18605,0
30912,0
51273,1
48546,1
28788,1
12064,0
29834,0
1773,0
3044,0
46347,0
39669,0
10217,0
3067,0
16154,0
14538,0
33469,0
13730,0
3494,0
8557,1
48619,0
13803,1
15518,1
16050,0
52972,0
48938,0
31806,0
19731,1
50536,0
578,0
14444,0
65,0
3448,0
43709,0
47333,0
9501,1
12608,0
14550,0
24393,0
47329,0
5870,1
47817,0
32937,0
34824,0
27611,1
23976,1
20009,1
43025,0
11470,1
48333,0
20913,0
52701,0
53810,0
16171,0
45402,0
45394,0
22371,0
32042,0
47099,1
32846,0
6518,1
12933,0
38890,0
11002,1
45013,1
39857,0
28170,0
7149,1
24964,0
43651,0
49191,0
37255,0
4796,0
25130,0
38433,0
7631,0
9071,0
52760,0
53142,0
18660,0
25525,1
15839,0
51238,0
49968,0
2017,1
23200,0
1265,1
41959,0
8028,0
42378,1
22225,1
38379,0
6837,1
36859,0
37382,1
24159,0
27655,0
53105,0
22449,0
18111,0
7276,1
48124,0
136,0
53521,1
5556,0
29158,0
48597,0
41175,0
25217,1
48983,1
1504,0
3495,1
25464,0
13463,0
32318,0
52569,0
11832,0
53107,0
52399,1
47228,0
52579,0
9059,0
52717,0
50923,0
13886,1
39069,0
40858,0
16730,0
2336,0
50462,0
49618,0
25167,1
27667,1
4367,1
21207,0
19645,1
6643,0
4213,0
40387,0
35035,0
28900,1
47202,1
30508,0
49311,1
20486,1
24374,0
22128,0
47070,0
9141,1
48490,0
17552,0
50395,0
38995,0
28820,0
16296,0
29703,0
5883,0
17174,0
46356,0
8721,0
38220,0
46784,1
29993,1
36255,0
46094,0
23188,0
22808,0
47111,1
14866,0
45880,1
17680,0
33083,0
36229,0
46976,1
47047,1
16134,0
4712,0
34306,0
37832,0
2724,1
14644,0
5618,1
26107,0
5697,0
16664,0
18705,1
24212,0
16821,1
31821,1
47699,1
43097,0
32656,1
39304,1
9861,0
21703,0
16317,1
3723,1
33700,0
37361,0
41083,0
22697,0
10301,1
34198,0
13395,0
13843,0
22474,0
36822,0
10850,1
11326,1
29505,0
37876,0
10242,1
25439,0
38728,1
17809,1
25339,1
17762,1
53787,0
4927,1
2419,1
42812,1
21781,0
1992,0
27774,0
37380,0
20005,0
53292,1
27628,0
41567,0
13027,0
13404,0
23960,1
33678,1
33720,0
20960,1
38908,1
49556,0
26646,0
27758,1
13874,1
5662,0
34095,1
43331,0
23336,0
10468,0
2834,0
26057,0
42503,1
11452,0
34982,1
17756,0
20604,1
13508,0
52189,0
12124,0
19001,0
24875,0
14947,0
2120,0
25755,0
22600,0
16847,0
53737,0
11431,0
47702,1
22194,0
43316,0
44022,0
11667,1
3665,0
47919,0
33009,1
34164,1
20826,0
37119,1
18738,0
14249,0
26202,1
44880,0
24272,0
1906,1
18352,1
44148,0
16418,1
31313,1
22216,0
2783,1
27033,0
20165,0
32026,0
