Train_ID,Score
4548,0.00015301848179660738
6816,0.00015203886869130656
5886,0.00014194184041116387
270,0.0001387817319482565
2420,0.00012969916861038655
3723,0.00012760835670633242
5723,0.00012585298100020736
7960,0.00012215604510856792
6537,0.00012199779303045943
2638,0.00011796121543738991
1060,0.00011583566811168566
2266,0.00011573818483157083
323,0.00011195003753527999
7406,0.0001114708065870218
3427,0.00010999406731571071
750,0.00010980079605360515
7240,0.00010967100024572574
1369,0.00010566113269305788
983,0.00010075865793623962
5621,0.00010016957457992248
3445,9.91582783171907e-05
3897,9.78156240307726e-05
7506,9.314334965893067e-05
6469,9.297530050389469e-05
1691,9.0921857918147e-05
1189,8.966904351837002e-05
7710,8.931444608606398e-05
171,8.930272815632634e-05
1161,8.902209083316848e-05
5299,8.88753856997937e-05
3253,8.829208309180103e-05
1802,8.644010813441128e-05
2046,8.634282858110964e-05
184,8.542121213395149e-05
2937,8.415667616645806e-05
7924,8.409348447457887e-05
6705,8.287348100566305e-05
4496,8.095284647424705e-05
3385,7.916935282992199e-05
5462,7.839538375264965e-05
1371,7.348983126576059e-05
6991,7.227137393783778e-05
6169,7.144370829337277e-05
4576,7.103789539542049e-05
4158,7.099982030922547e-05
6440,6.94779446348548e-05
3764,6.788668179069646e-05
4625,6.763044802937657e-05
4875,6.631062933593057e-05
3067,6.604817826882936e-05
3131,6.52982598694507e-05
2747,6.527650111820549e-05
3214,6.474495239672251e-05
70,6.430926077882759e-05
7153,6.422013757401146e-05
7838,6.398832556442358e-05
3581,6.360525730997324e-05
5378,6.273329927353188e-05
3926,6.247746023291256e-05
1140,6.17850419075694e-05
4634,6.176643364597112e-05
1062,6.14511918684002e-05
7820,6.111901166150346e-05
1890,6.070281961001456e-05
1202,6.060574742150493e-05
2346,6.038172068656422e-05
7687,6.01589690631954e-05
7064,5.9867936215596274e-05
2161,5.980886999168433e-05
7472,5.977960609016009e-05
2458,5.965897435089573e-05
5479,5.94187258684542e-05
1630,5.909586798225064e-05
7218,5.903968485654332e-05
2706,5.776917350885924e-05
4298,5.717829662899021e-05
5558,5.705184412363451e-05
2172,5.6218970712507144e-05
5540,5.5603162763873115e-05
656,5.551383219426498e-05
4026,5.541302198253106e-05
1640,5.5319560487987474e-05
5962,5.5108856031438336e-05
3258,5.4652464314131066e-05
5221,5.4387945056078024e-05
6766,5.371079714677762e-05
5190,5.360828436096199e-05
5129,5.330176463758107e-05
6351,5.303397847455926e-05
4711,5.289517321216408e-05
578,5.279836477711797e-05
5700,5.25140821991954e-05
4699,5.120958849147428e-05
6105,5.1084647566312924e-05
1529,5.10539575770963e-05
5477,5.063898424850777e-05
6131,5.051493280916475e-05
4327,5.014645466872025e-05
7344,4.984440420230385e-05
465,4.937164703733288e-05
4486,4.9279840823146515e-05
7109,4.918695231026504e-05
3639,4.9091973778558895e-05
3631,4.905541572952643e-05
3247,4.9048081564251333e-05
2296,4.870808515988756e-05
5783,4.8572843297733925e-05
4076,4.8350122597184964e-05
7890,4.834069841308519e-05
4077,4.819796231458895e-05
4314,4.799035014002584e-05
2074,4.7458735934924334e-05
7131,4.739009455079213e-05
6370,4.736014670925215e-05
5868,4.706959953182377e-05
4734,4.699676173913758e-05
1216,4.68792950414354e-05
4583,4.6768964239163324e-05
3781,4.663214349420741e-05
562,4.605138565239031e-05
239,4.581863322528079e-05
758,4.566922871163115e-05
7191,4.499460010265466e-05
4055,4.4922122469870374e-05
7295,4.448305844562128e-05
4945,4.448153777047992e-05
7022,4.4412292481865734e-05
6134,4.430318404047284e-05
6020,4.369718226371333e-05
1824,4.3676753193722107e-05
7107,4.365791937743779e-05
4593,4.36494592577219e-05
7359,4.344298577052541e-05
6491,4.343920954852365e-05
1673,4.338331382314209e-05
5363,4.334859659138601e-05
3433,4.273416197975166e-05
6345,4.266444739187136e-05
2033,4.2644143832148984e-05
1275,4.24839436163893e-05
4539,4.239872214384377e-05
1187,4.1919889554264955e-05
3913,4.1839073674054816e-05
5539,4.1742805478861555e-05
5339,4.157604053034447e-05
5435,4.155838360020425e-05
1335,4.1157571104122326e-05
1914,4.103139144717716e-05
747,4.062577863805927e-05
5472,4.0560660636401735e-05
4614,4.046121466672048e-05
5484,4.034449557366315e-05
1023,4.028361399832647e-05
4008,4.026846909255255e-05
7590,4.0056402212940156e-05
7374,3.999601904070005e-05
327,3.994204962509684e-05
7141,3.9878157622297294e-05
1206,3.985670082329307e-05
4900,3.982276757596992e-05
7557,3.963868221035227e-05
4006,3.908817780029494e-05
102,3.902766547980718e-05
6167,3.897054921253584e-05
5742,3.894344627042301e-05
670,3.868693966069259e-05
5675,3.8556572690140456e-05
1676,3.855626346194185e-05
313,3.8458365452243015e-05
7487,3.826790634775534e-05
1225,3.819561970885843e-05
1688,3.813571674982086e-05
6880,3.8115938878036104e-05
1448,3.784186628763564e-05
7309,3.7748402974102646e-05
3636,3.772749550989829e-05
6821,3.7674199120374396e-05
3819,3.7399990105768666e-05
6361,3.7026911741122603e-05
2032,3.698651744343806e-05
5077,3.697714419104159e-05
3051,3.6877381717204116e-05
2662,3.671438025776297e-05
1473,3.654965985333547e-05
5428,3.637660665845033e-05
