id,label
11439,0
24565,0
27356,0
29515,0
28058,1
38338,0
13395,0
34057,0
52435,1
45442,0
20663,0
10313,0
918,0
2283,1
7071,1
31595,1
44395,1
23761,1
18307,0
16490,0
3241,0
3983,1
47809,1
39911,1
1374,0
52432,0
36864,1
38014,0
47937,0
26334,0
16252,0
22842,1
37790,1
10719,0
34360,1
7685,0
45429,1
37548,1
41083,0
30176,0
46029,0
52726,0
52416,1
23374,0
18812,0
1846,1
28395,0
51046,1
23562,1
16125,1
35154,0
20125,1
32948,1
40827,1
28161,0
7656,1
4212,0
39381,1
2884,1
11945,0
12413,1
32,0
52940,0
43395,0
41801,1
53400,1
34880,1
51864,1
34210,0
22792,0
27071,0
45490,0
8489,0
16670,1
32226,1
5919,0
20757,0
23325,1
27000,0
20389,0
25283,1
18804,0
7655,0
40935,0
21707,0
43466,1
22916,1
42804,1
10577,0
16032,0
13898,0
33875,1
11247,0
53027,1
10281,0
24849,0
23990,0
22150,1
3565,1
17202,0
41736,0
21310,0
29711,0
48298,1
30532,1
15883,1
1904,0
46313,0
34303,1
1891,0
17757,0
19261,1
3981,0
3843,0
10815,1
48687,1
36512,1
24635,0
966,0
320,1
30109,0
51280,1
2210,1
316,0
4558,1
43303,0
488,0
30582,1
39735,1
44803,1
47264,1
37775,0
21033,1
24657,1
9042,0
46586,1
29411,0
8709,1
48269,0
35587,1
44783,1
29575,1
18752,0
52817,1
11835,0
52225,0
20298,0
41396,0
19725,1
27036,0
10031,0
50663,0
10973,0
36795,0
17544,0
29655,0
8039,1
23084,1
5201,0
16247,0
41008,1
10457,1
16868,0
3628,0
5354,1
65,0
20985,1
19611,1
38122,1
14995,1
12624,1
48543,0
19976,0
4824,1
39514,0
44293,1
26695,1
35994,1
52049,0
12515,1
23718,1
18395,1
15953,0
16977,1
52492,1
33707,1
48967,0
9436,0
50281,1
40994,0
26646,0
11389,0
33574,0
23980,0
20829,0
30719,0
14508,1
14903,0
13113,0
52313,1
12802,1
22650,0
50191,1
12265,0
10901,1
36569,0
46477,1
6988,1
46119,1
11125,0
49988,0
27507,0
40263,1
26649,0
17124,0
52985,0
37126,1
5092,0
31040,0
12908,0
27780,0
51634,0
13627,1
51618,1
40723,1
43175,0
6718,1
39691,1
20246,0
46839,1
15022,0
40190,1
21834,0
28341,0
52888,1
2433,1
52553,0
35666,0
20620,1
36339,0
19012,1
51259,1
20048,0
50864,1
46674,0
18028,0
8411,0
53044,0
36052,1
18922,1
13027,0
17701,0
22400,1
50446,0
22884,0
18529,1
30638,0
9950,0
2990,1
39743,1
30335,0
46848,0
37368,0
10377,0
28850,1
13040,0
37710,1
14792,0
20949,0
9273,1
41544,1
8176,1
53033,0
4460,0
27659,1
38131,0
5262,0
37150,0
43833,1
37171,0
7753,0
15143,0
30367,1
3908,0
28419,1
31272,0
35256,1
39991,1
18589,0
35368,0
22938,1
13484,0
39962,0
50559,1
14710,1
27147,1
43665,0
15407,1
38388,0
27158,0
7460,0
32931,0
20198,0
36933,0
44594,0
37906,1
23475,0
51643,1
26616,0
53054,0
26519,0
34898,1
10551,0
9130,1
6166,0
33323,0
50287,1
22768,0
6153,0
16819,0
46827,0
45139,0
33238,1
20747,0
50963,1
16880,0
47957,1
43698,1
5684,1
52988,1
50558,1
1924,0
12488,1
6471,1
5591,1
24887,0
12430,0
38913,0
44802,1
24615,1
17171,1
1255,0
44739,0
2229,1
10347,1
33143,1
7841,0
17054,1
17826,1
26644,1
6968,1
31177,1
6860,1
53320,0
53417,1
30126,0
42417,1
28748,1
20535,1
16433,1
8036,1
37068,0
33430,1
36854,1
44885,0
48284,0
32846,0
39247,1
27065,1
24673,1
17389,1
48274,1
86,0
3654,1
1929,1
8068,1
46796,0
47886,0
2173,0
15741,1
52421,0
47734,0
2992,1
47786,0
20119,1
31731,1
42406,1
14959,1
1201,1
22535,0
14924,1
39268,1
9382,1
48741,0
18687,0
50099,1
23017,0
15975,1
30542,1
16536,0
45316,0
16491,0
12446,0
29602,1
12155,0
47074,0
49665,1
36189,0
16271,1
11426,0
23026,0
47567,0
6935,1
44595,1
26076,0
33410,1
8949,1
26119,0
8321,0
30088,1
37874,0
17011,1
47912,0
24553,0
23106,1
11800,0
19767,0
13497,1
30609,0
47152,1
27814,0
14984,1
36438,1
31798,1
20609,0
40280,1
21367,1
22686,0
23246,0
40910,1
11453,0
4052,1
5168,1
1510,1
21797,0
43978,0
36633,0
40019,0
19359,1
18497,1
18862,1
27019,0
42334,0
6811,0
4131,0
49593,1
15893,1
52480,1
10548,0
6928,0
10642,0
53644,1
42876,0
42854,1
34959,0
47825,0
34803,1
50877,1
15861,1
2125,1
33274,1
25454,1
27323,0
22485,0
31376,0
51232,0
47952,0
661,1
40696,0
51640,0
49026,0
14632,0
52294,1
53119,1
5197,1
16376,0
4075,1
25879,1
43807,1
31432,0
22944,0
6368,1
26201,1
17770,1
43441,0
52240,0
7261,0
9829,0
29573,0
21829,1
6706,0
46350,0
52069,0
11228,0
42420,0
5572,1
30704,1
23105,0
41573,1
44926,0
32733,0
25481,0
53718,0
40002,1
53274,1
40097,0
30682,1
13968,0
12447,0
13432,0
11405,1
45299,0
16450,1
48629,0
31802,0
35612,1
20168,1
38979,1
43542,1
39177,1
9699,1
32243,1
52575,1
45015,0
24631,1
43184,0
49093,1
24597,0
17695,1
11650,0
5673,0
53426,1
28245,1
49430,1
36236,1
34865,0
48667,1
42472,0
48299,0
25850,1
9884,1
27358,0
4429,1
2327,1
8127,0
33032,1
17435,0
39809,1
26450,1
52512,0
16136,1
26205,0
30226,0
18326,1
24342,1
20665,1
20464,0
48782,0
36966,1
15779,0
32616,0
28378,0
2185,0
37726,0
42838,1
48425,1
24466,0
24061,0
31472,0
27286,0
42973,0
13078,1
40156,0
21672,1
50959,0
47910,1
19919,0
53556,1
45373,0
35208,1
12617,1
31893,0
36190,0
40291,0
53387,0
36154,1
16993,1
17892,1
34484,0
34935,1
14441,1
23040,0
7500,1
32527,1
17508,1
22856,0
3977,1
47756,1
45959,1
4881,1
5463,1
36565,1
21993,0
21216,1
8828,1
17311,1
34225,0
28360,1
42419,1
10124,0
652,0
6703,1
46061,0
26267,1
527,0
25602,0
2120,0
44518,1
38936,1
48313,0
39897,1
38144,0
36474,0
1608,0
50255,1
35726,0
35091,1
37857,1
14615,0
30889,0
27850,0
43223,0
38660,1
53884,1
11799,1
28084,1
24172,0
36996,0
48237,0
10117,0
7769,1
11868,0
32972,1
26016,1
8896,0
51361,0
23349,0
44398,0
19765,1
24373,1
38330,0
36943,0
30399,0
5696,0
2492,1
35083,1
45506,1
16486,0
51503,0
10970,1
29718,1
7577,0
32861,0
30387,0
16508,0
37406,0
28041,0
27322,0
38400,0
20194,0
40978,1
35664,0
32979,1
16710,0
47737,0
48921,1
47318,1
21564,1
19541,0
38250,0
220,0
47622,1
28927,1
34234,0
6664,1
43884,1
48427,0
44161,1
5466,1
5009,1
25316,0
49380,0
16720,1
10933,1
3930,1
30579,1
26377,0
37159,1
12517,1
3446,0
4797,0
53880,1
45453,0
24499,1
14175,0
23850,0
43014,1
26495,1
27521,1
4402,0
31670,1
22234,1
49702,1
28101,1
27229,1
46462,0
52863,0
18362,0
17506,0
5568,0
10042,0
28201,0
28660,0
14186,1
16632,0
31997,1
15493,0
49872,1
22286,0
46259,0
28807,1
40853,1
29704,1
16198,1
32545,0
18697,0
48976,0
18818,1
28648,1
2302,1
19050,1
39208,1
3651,1
23900,1
48308,0
27119,1
20250,1
36322,0
51890,0
46813,0
46900,0
22410,0
5242,1
47595,1
16230,0
41677,1
2050,0
22647,0
5870,1
6075,1
13431,1
6715,1
17417,1
34818,0
31813,0
47147,1
14890,1
10786,0
29149,1
25218,1
36063,1
37220,0
20888,1
39437,1
21422,1
47782,0
11570,0
46799,1
5884,0
50528,0
4452,1
368,0
8916,1
44332,0
6185,0
28674,1
20806,0
13285,1
5605,1
24954,1
51623,1
2924,1
2083,0
53736,1
43025,0
18948,0
32254,0
19778,0
19131,0
46470,1
15887,0
29115,1
53704,1
31722,1
48171,1
52519,0
42683,1
47132,1
38448,1
5790,1
40611,0
10678,1
30932,0
46219,1
53189,1
43126,1
8194,1
10565,1
38544,1
39079,1
52692,0
34178,1
15730,1
17761,1
47638,1
20622,1
51809,1
17731,0
8683,1
37343,1
37299,1
9229,0
29024,1
15020,0
33515,1
29040,0
52448,0
7176,0
13773,0
12315,0
41352,1
18376,1
20022,0
2875,0
27844,0
3849,0
6684,0
24744,1
53922,0
19394,0
3666,1
32426,1
4434,1
49200,1
50504,0
9132,0
21343,0
27620,0
25103,1
52008,0
24447,1
22315,1
17155,0
18629,0
19888,1
6481,0
12940,1
49633,0
22042,1
37243,1
14828,1
43273,1
35263,1
25986,1
52782,0
41631,1
28290,1
47536,0
45590,0
29558,0
40333,0
21839,1
9685,0
11114,0
36308,0
46512,1
47518,1
22553,0
14583,0
6604,0
41745,0
17071,1
32365,0
11245,1
40929,0
30950,1
22990,1
46985,0
28520,0
43774,0
2584,0
41713,0
15921,1
44427,1
37722,1
2737,0
51735,0
25250,1
26542,1
42490,0
1355,0
41009,1
45304,0
36834,0
22658,1
4575,0
53262,0
44867,1
15755,0
24361,0
48165,1
30003,0
45069,1
26640,0
5035,1
45830,1
53493,0
41756,1
7843,1
