Train_ID,label
1,1
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,1
57,1
58,1
59,0
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,0
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,0
204,0
205,0
206,1
207,1
208,0
209,0
210,0
211,1
212,0
213,1
214,0
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,0
236,0
237,0
238,0
239,0
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,0
281,1
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,0
308,1
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,0
339,1
340,1
341,1
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,0
364,0
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,1
385,1
386,0
387,1
388,0
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,1
408,0
409,1
410,1
411,1
412,0
413,0
414,1
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,0
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,1
483,0
484,1
485,1
486,1
487,0
488,0
489,0
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,1
498,0
499,1
500,1
501,0
502,0
503,0
504,1
505,1
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,1
517,1
518,0
519,0
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,0
530,0
531,1
532,1
533,0
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,1
543,1
544,1
545,1
546,0
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,0
563,0
564,0
565,0
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,1
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,0
585,0
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,0
595,0
596,0
597,1
598,1
599,1
600,1
601,0
